,index
381,g54b.f_whlesaletde_20_24
382,g54b.f_whlesaletde_25_34
383,g54b.f_whlesaletde_35_44
384,g54b.f_whlesaletde_45_54
385,g54b.f_whlesaletde_55_64
386,g54b.f_whlesaletde_65_74
387,g54b.f_whlesaletde_75_84
388,g54b.f_whlesaletde_85ov
389,g54b.f_whlesaletde_tot
390,g54b.f_rettde_15_19
391,g54b.f_rettde_20_24
392,g54b.f_rettde_25_34
393,g54b.f_rettde_35_44
394,g54b.f_rettde_45_54
395,g54b.f_rettde_55_64
396,g54b.f_rettde_65_74
397,g54b.f_rettde_75_84
398,g54b.f_rettde_85ov
399,g54b.f_rettde_tot
400,g54b.f_accom_food_15_19
401,g54b.f_accom_food_20_24
402,g54b.f_accom_food_25_34
403,g54b.f_accom_food_35_44
404,g54b.f_accom_food_45_54
405,g54b.f_accom_food_55_64
406,g54b.f_accom_food_65_74
407,g54b.f_accom_food_75_84
408,g54b.f_accom_food_85ov
409,g54b.f_accom_food_tot
410,g54b.f_trans_post_wrehsg_15_19
411,g54b.f_trans_post_wrehsg_20_24
412,g54b.f_trans_post_wrehsg_25_34
413,g54b.f_trans_post_wrehsg_35_44
414,g54b.f_trans_post_wrehsg_45_54
415,g54b.f_trans_post_wrehsg_55_64
416,g54b.f_trans_post_wrehsg_65_74
417,g54b.f_trans_post_wrehsg_75_84
418,g54b.f_trans_post_wrehsg_85ov
419,g54b.f_trans_post_wrehsg_tot
420,g54b.f_info_media_teleco_15_19
421,g54b.f_info_media_teleco_20_24
422,g54b.f_info_media_teleco_25_34
423,g54b.f_info_media_teleco_35_44
424,g54b.f_info_media_teleco_45_54
425,g54b.f_info_media_teleco_55_64
426,g54b.f_info_media_teleco_65_74
427,g54b.f_info_media_teleco_75_84
428,g54b.f_info_media_teleco_85ov
429,g54b.f_info_media_teleco_tot
430,g54b.f_fin_insur_15_19
431,g54b.f_fin_insur_20_24
432,g54b.f_fin_insur_25_34
433,g54b.f_fin_insur_35_44
434,g54b.f_fin_insur_45_54
435,g54b.f_fin_insur_55_64
436,g54b.f_fin_insur_65_74
437,g54b.f_fin_insur_75_84
438,g54b.f_fin_insur_85ov
439,g54b.f_fin_insur_tot
440,g54b.f_rtnhir_rest_15_19
441,g54b.f_rtnhir_rest_20_24
442,g54b.f_rtnhir_rest_25_34
443,g54b.f_rtnhir_rest_35_44
444,g54b.f_rtnhir_rest_45_54
445,g54b.f_rtnhir_rest_55_64
446,g54b.f_rtnhir_rest_65_74
447,g54b.f_rtnhir_rest_75_84
448,g54b.f_rtnhir_rest_85ov
449,g54b.f_rtnhir_rest_tot
450,g54b.f_pro_scien_tec_15_19
451,g54b.f_pro_scien_tec_20_24
